Time,Position X,Position Y,Position Z
0.01,43.0,8.0,-40.0
0.02,43.003064038768414,8.197069891675278,-39.81890291160235
0.03,43.004121689332806,8.394027155469171,-39.63788965257995
0.04,43.00317336046461,8.590791841868512,-39.45697509828835
0.05,43.00021966103863,8.787284081356006,-39.27617412058776
0.06,42.99526139997676,8.983424116354325,-39.09550158634023
0.07,42.98829958617164,9.179132333125526,-38.914972355907274
0.08,42.97933542839014,9.374329293613004,-38.73460128164817
0.09,42.968370335156735,9.56893576721326,-38.55440320641889
0.1,42.95540591461693,9.762872762464763,-38.37439296207207
0.11,42.94044397438042,9.956061558641226,-38.19458536795798
0.12,42.923486521344294,10.148423737236648,-38.01499522942672
0.13,42.90453576149616,10.339881213329548,-37.835637336331835
0.14,42.883594099697255,10.530356266813806,-37.65652646153544
0.15,42.86066413944548,10.71977157348364,-37.47767735941501
0.16,42.835748682618544,10.908050235960285,-37.29910476437207
0.17,42.80885072919703,11.095115814447961,-37.120823389342796
0.18,42.77997347696764,11.280892357306877,-36.94284792431089
0.19,42.74912032120642,11.465304431430988,-36.76519303482262
0.2,42.7162948543422,11.648277152418391,-36.587873360504446
0.21,42.68150086560015,11.829736214522256,-36.410903513583136
0.22,42.64474234062555,12.009607920370332,-36.23429807740877
0.23,42.60602346108777,12.187819210441111,-36.05807160498057
0.24,42.565348604264614,12.36429769228488,-35.88223861747582
0.25,42.52272234260686,12.538971669477963,-35.70681360278206
0.26,42.478149443283336,12.711770170298552,-35.53181101403258
0.27,42.43163486770625,12.882622976112676,-35.357245268145455
0.28,42.38318377103715,13.051460649458935,-35.18313074436634
0.29,42.332801501673316,13.218214561820764,-35.00948178281493
0.3,42.28049360071476,13.38281692107513,-34.836312683035565
0.31,42.226265801411955,13.54520079860666,-34.66363770255184
0.32,42.170124028594124,13.705300156076353,-34.491471055425514
0.33,42.11207439807845,13.8630498718342,-34.3198269108199
0.34,42.052123216060046,14.018385766965087,-34.148719391567724
0.35000000000000003,41.99027697848287,14.171244630957617,-33.97816257274379
0.36,41.92654237039157,14.321564246985542,-33.80817048024243
0.37,41.86092626526447,14.469283416791718,-33.63875708936002
0.38,41.79343572432757,14.61434198516461,-33.4699363233826
0.39,41.7240779958499,14.756680863997563,-33.301722052178796
0.4,41.65286051442,14.896242055921215,-33.13412809079826
0.41000000000000003,41.57979090020387,15.032968677499598,-32.9671681980755
0.42,41.50487695818434,15.166804981980645,-32.80085607523967
0.43,41.42812667738199,15.297696381592004,-32.635205364530044
0.44,41.349548230057664,15.425589469373241,-32.47022964781755
0.45,41.26914997089672,15.5504320405357,-32.30594244523245
0.46,41.18694043617507,15.67217311334148,-32.14235721379835
0.47000000000000003,41.102928342907134,15.790762949493152,-31.9794873460725
0.48,41.01712258797576,15.906153074026113,-31.8173461687928
0.49,40.92953224724427,16.018296294695563,-31.65594694153139
0.5,40.840166574650624,16.12714672085038,-31.495302855355117
0.51,40.74903500128399,16.232659781786346,-31.335427031492966
0.52,40.65614713444357,16.33479224457138,-31.17633252001057
0.53,40.56151275668,16.43350223133563,-31.018032298491956
0.54,40.465141824819334,16.528749236019546,-30.860539270728687
0.55,40.36704446896972,16.620494140573182,-30.703866265416437
0.56,40.26723099151092,16.708699230600313,-30.54802603485925
0.5700000000000001,40.165711866066715,16.79332821044106,-30.393031253681542
0.58,40.06249773646037,16.874346217687002,-30.238894517547962
0.59,39.95759941565328,16.951719837122976,-30.0856283418913
0.6,39.851027884666784,17.02541711408999,-29.933245160648532
0.61,39.74279429148749,17.09540756726391,-29.781757325005128
0.62,39.63290994995603,17.16166220084476,-29.63117710214776
0.63,39.5213863386394,17.22415351615186,-29.48151667402554
0.64,39.40823509968713,17.282855522620036,-29.332788136119895
0.65,39.29346803767127,17.337743748192633,-29.18500349622323
0.66,39.177097118410316,17.388795249107055,-29.03817467322647
0.67,39.059134467777376,17.435988619069004,-28.892313495915637
0.68,38.93959237049244,17.479303997811705,-28.747431701777554
0.6900000000000001,38.81848326889911,17.518723079036693,-28.603540935814824
0.7000000000000001,38.695819761725744,17.554229117733005,-28.46065274937019
0.71,38.57161460283134,17.585806936871833,-28.318778598960403
